"","location_variable","driver_race","num_stops","num_searches","num_hits","search_rate","hit_rate"
"55","32","Black",49961,2532,140,0.0506795300334261,0.0552922590837283
"56","32","Hispanic",5345,264,17,0.0493919550982226,0.0643939393939394
"57","32","White",657,35,1,0.0532724505327245,0.0285714285714286
"58","33","Black",6106,222,24,0.0363576809695382,0.108108108108108
"59","33","Hispanic",17437,596,41,0.034180191546711,0.0687919463087248
"60","33","White",942,35,10,0.0371549893842887,0.285714285714286
"61","34","Black",4529,148,22,0.0326782954294546,0.148648648648649
"62","34","Hispanic",33300,1131,99,0.033963963963964,0.0875331564986737
"63","34","White",1475,49,5,0.0332203389830508,0.102040816326531
"64","40","Black",40651,1590,62,0.0391134289439374,0.0389937106918239
"65","40","Hispanic",36648,1457,81,0.0397566033617114,0.0555936856554564
"66","40","White",873,26,3,0.0297823596792669,0.115384615384615
"67","41","Black",17739,546,14,0.0307796380855742,0.0256410256410256
"68","41","Hispanic",21120,666,20,0.0315340909090909,0.03003003003003
"69","41","White",751,17,0,0.0226364846870839,0
"70","42","Black",29990,1705,69,0.0568522840946982,0.0404692082111437
"71","42","Hispanic",16435,916,50,0.0557347125038029,0.0545851528384279
"72","42","White",385,24,2,0.0623376623376623,0.0833333333333333
"73","43","Black",27017,1799,73,0.0665877040381982,0.0405780989438577
"74","43","Hispanic",27688,1668,91,0.0602427044206877,0.0545563549160671
"75","43","White",1049,53,6,0.0505243088655863,0.113207547169811
"76","44","Black",31388,1482,84,0.0472154963680387,0.0566801619433198
"77","44","Hispanic",29410,1540,116,0.0523631417885073,0.0753246753246753
"78","44","White",800,43,2,0.05375,0.0465116279069767
"79","45","Black",7523,309,16,0.041074039611857,0.0517799352750809
"80","45","Hispanic",8792,339,30,0.038557779799818,0.0884955752212389
"81","45","White",3861,121,17,0.0313390313390313,0.140495867768595
"82","46","Black",20493,684,30,0.0333772507685551,0.043859649122807
"83","46","Hispanic",24260,750,52,0.0309150865622424,0.0693333333333333
"84","46","White",485,17,5,0.0350515463917526,0.294117647058824
"85","47","Black",32187,1590,97,0.0493988256128251,0.0610062893081761
"86","47","Hispanic",8203,377,23,0.045958795562599,0.0610079575596817
"87","47","White",863,43,4,0.0498261877172654,0.0930232558139535
"88","48","Black",9391,369,19,0.0392929400489831,0.0514905149051491
"89","48","Hispanic",10176,449,23,0.044123427672956,0.0512249443207127
"90","48","White",763,44,3,0.0576671035386632,0.0681818181818182
"91","49","Black",15794,334,16,0.0211472711156135,0.0479041916167665
"92","49","Hispanic",12791,316,19,0.0247048706121492,0.060126582278481
"93","49","White",3769,77,4,0.0204298222340143,0.051948051948052
"94","50","Black",3299,132,8,0.0400121248863292,0.0606060606060606
"95","50","Hispanic",6853,258,17,0.0376477455129141,0.0658914728682171
"96","50","White",1265,50,8,0.0395256916996047,0.16
"97","52","Black",15517,856,41,0.0551653025713733,0.0478971962616822
"98","52","Hispanic",29304,1573,85,0.0536786786786787,0.0540368722186904
"99","52","White",1461,83,8,0.0568104038329911,0.0963855421686747
"100","60","Black",20676,623,46,0.0301315534919714,0.0738362760834671
